,quantity,unit_price,discount_percent,shipping_cost,Year,rating,customer_segment_Gold,customer_segment_Premium,product_name_External HDD,product_name_Gaming Chair,product_name_Headphones,product_name_Keyboard,product_name_Laptop,product_name_Monitor,product_name_Mouse,product_name_Phone Stand,product_name_Power Bank,product_name_Printer,product_name_Router,product_name_Smart Watch,product_name_Speakers,product_name_Tablet,subtotal,discount_amount,Revenue
4751,2,3617.08,0.03,34.7,2023,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7234.16,217.0248,7051.8351999999995
4753,2,10415.87,0.37,21.22,2024,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20831.74,7707.7438,13145.2162
4755,4,8943.3,0.29,67.62,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35773.2,10374.228,25466.591999999997
4756,2,735.23,0.04,38.35,2023,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1470.46,58.818400000000004,1449.9915999999998
4759,4,11739.74,0.226172997290527,5.74,2023,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46958.96,10620.848732845965,36343.85126715403
4760,6,3348.52,0.03,10.94,2024,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20091.12,602.7335999999999,19499.326399999998
4762,9,28654.6,0.19,6.03,2024,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,257891.4,48999.366,208898.06399999998
4763,6,3705.82,0.23,6.02,2024,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22234.920000000002,5114.0316,17126.908400000004
4764,9,2214.16,0.36,79.78,2024,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19927.44,7173.8784,12833.3416
4765,1,12764.18,0.21,26.59,2023,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12764.18,2680.4778,10110.2922
4766,8,16097.61,0.35,79.18,2024,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128780.88,45073.308,83786.75200000001
4769,7,3660.91,0.18,41.24,2023,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25626.37,4612.7465999999995,21054.863400000002
4770,2,3432.81,0.37,99.41,2023,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6865.62,2540.2794,4424.750599999999
4771,3,8820.25,0.07,32.34,2024,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26460.75,1852.2525000000003,24640.8375
4772,7,3928.13,0.23,86.2,2024,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27496.91,6324.2893,21258.8207
4773,3,7251.1,0.01,19.84,2023,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21753.300000000003,217.53300000000004,21555.607000000004
4774,4,60000.0,0.21,98.72,2024,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240000.0,50400.0,189698.72
4775,9,8712.83,0.12,66.57,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,78415.47,9409.8564,69072.1836
4777,3,690.1,0.1,84.79,2023,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2070.3,207.03000000000003,1948.0600000000002
4778,3,3524.98,0.16,29.82,2023,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10574.94,1691.9904000000001,8912.7696
4780,3,183.01,0.22,68.66,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.03,120.78659999999999,496.9033999999999
4781,9,2451.26,0.17,44.19,2023,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22061.340000000004,3750.427800000001,18355.1022
4782,1,2084.63,0.29,16.25,2024,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2084.63,604.5427,1496.3373000000001
4784,1,186.8,0.38,70.96,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.8,70.98400000000001,186.776
4785,2,9447.351521955212,0.33,95.5,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18894.703043910424,6235.25200449044,12754.951039419982
4786,2,10627.69,0.15,30.81,2023,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21255.38,3188.3070000000002,18097.883
4787,1,22734.37,0.21,84.77,2024,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22734.37,4774.217699999999,18044.922300000002
4788,2,14792.4,0.22,55.42,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29584.8,6508.656,23131.564
4789,4,2048.83,0.22,33.43,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8195.32,1802.9704,6425.7796
4790,2,2096.65,0.22,1.36,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4193.3,922.5260000000001,3272.1340000000005
4791,8,6340.43,0.37,47.01,2023,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50723.44,18767.6728,32002.7772
4793,1,804.68,0.14,87.96,2023,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,804.68,112.65520000000001,779.9848
4796,6,2047.14,0.17,82.62,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12282.84,2088.0828,10277.3772
4797,1,782.51,0.33,34.59,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782.51,258.2283,558.8717
4798,8,197.61,0.02,16.52,2024,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580.88,31.617600000000003,1565.7824
4801,4,2105.88,0.15,35.05,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8423.52,1263.528,7195.042
4803,1,2426.29,0.11,45.47,2024,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2426.29,266.8919,2204.8680999999997
4804,9,17203.85,0.15,16.17,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154834.65,23225.1975,131625.6225
4806,8,735.77,0.226172997290527,37.58,2023,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5886.16,1331.2904497316083,4592.449550268391
4807,8,28340.82,0.31,14.51,2024,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,226726.56,70285.23359999999,156455.83640000003
4808,10,841.84,0.05,72.48,2023,3.78987608752966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8418.4,420.92,8069.959999999999
4809,9,10309.7,0.07,60.49,2024,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92787.3,6495.111000000001,86352.679
4810,4,26914.44,0.05,32.3,2024,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,107657.76,5382.888,102307.17199999999
4811,9,23921.51,0.29,92.25,2024,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,215293.59,62435.14109999999,152950.69890000002
4812,9,850.58,0.3,93.71,2023,3.78987608752966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7655.22,2296.566,5452.3640000000005
4813,10,11266.59,0.13,5.4,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,112665.9,14646.567,98024.733
4815,4,12965.06,0.34,59.93,2024,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51860.24,17632.4816,34287.6884
4817,6,870.76,0.38,69.0,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5224.5599999999995,1985.3328,3308.2271999999994
4818,1,23202.05,0.39,89.75,2024,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23202.05,9048.7995,14243.0005
4819,1,13179.16,0.15,65.99,2023,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13179.16,1976.8739999999998,11268.276
4821,2,2918.16,0.27,79.28,2023,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5836.32,1575.8064,4339.7936
4822,2,765.77,0.36,36.35,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1531.54,551.3543999999999,1016.5356
4823,8,17243.26,0.28,5.89,2024,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137946.08,38624.9024,99327.0676
4824,5,12488.36,0.03,28.87,2023,3.78987608752966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62441.8,1873.254,60597.416000000005
4825,9,721.18,0.16,54.56,2024,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6490.62,1038.4992,5506.6808
4827,1,54496.49,0.17,41.38,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54496.49,9264.4033,45273.4667
4828,5,8391.11,0.02,76.86,2023,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41955.55,839.1110000000001,41193.299000000006
4829,7,3933.75,0.23,81.64,2024,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27536.25,6333.337500000001,21284.552499999998
4831,4,3395.19,0.27,64.84,2023,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13580.76,3666.8052000000002,9978.7948
4832,10,840.11,0.18,85.68,2024,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8401.1,1512.198,6974.582
4833,1,2253.67,0.31,37.41,2024,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2253.67,698.6377,1592.4423000000002
4834,6,4527.1,0.05,45.78,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27162.600000000002,1358.13,25850.25
4835,1,917.12,0.06,35.93,2024,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,917.12,55.0272,898.0228
4836,9,9447.351521955212,0.06,99.16,2024,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85026.1636975969,5101.569821855814,80023.7538757411
4837,3,16105.37,0.03,98.08,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48316.11,1449.4832999999999,46964.7067
4838,1,10947.73,0.14,58.34,2023,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10947.73,1532.6822000000002,9473.3878
4839,1,2839.72,0.36,58.06,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2839.72,1022.2991999999999,1875.4807999999998
4841,4,717.8,0.3,30.64,2024,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2871.2,861.3599999999999,2040.48
4843,5,62837.58,0.36,84.17,2024,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314187.9,113107.644,201164.42600000004
4844,1,3449.62,0.13,25.06,2023,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3449.62,448.4506,3026.2293999999997
4845,10,3520.82,0.15,-11.37,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35208.200000000004,5281.2300000000005,29915.600000000006
4846,5,8415.72,0.04,98.27,2024,3.78987608752966,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42078.6,1683.144,40493.725999999995
4847,1,3690.98,0.16,88.13,2023,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3690.98,590.5568000000001,3188.5532000000003
4849,7,6565.83,0.39,4.52,2023,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45960.81,17924.7159,28040.6141
4850,6,4032.53,0.226172997290527,97.44,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24195.18,5472.2963805838135,18820.323619416184
4851,2,5770.05,0.31,45.84,2024,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11540.1,3577.431,8008.509
4852,8,8359.21,0.27,18.04,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,66873.68,18055.8936,48835.8264
4853,2,27949.18,0.32,15.63,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55898.36,17887.4752,38026.5148
4854,10,16507.0,0.02,59.79,2023,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165070.0,3301.4,161828.39
4855,1,1956.66,0.11,43.64,2024,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1956.66,215.23260000000002,1785.0674000000001
4856,5,771.64,0.02,2.68,2023,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3858.2,77.164,3783.7159999999994
4859,5,203.19,0.01,64.41,2024,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.95,10.159500000000001,1070.2005000000001
4860,8,10825.87,0.01,29.43,2023,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86606.96,866.0696,85770.3204
4861,10,833.78,0.27,21.17,2023,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8337.8,2251.206,6107.763999999999
4862,7,2223.57,0.25,8.94,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15564.990000000002,3891.2475000000004,11682.6825
4863,1,728.75,0.35,29.63,2024,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,728.75,255.06249999999997,503.3175
4865,2,1788.74,0.16,82.04,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3577.48,572.3968,3087.1232
4866,1,3117.37,0.29,80.99,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3117.37,904.0373,2294.3226999999997
4867,1,11961.49,0.27,96.33,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11961.49,3229.6023,8828.2177
4869,1,15619.08,0.37,2.82,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15619.08,5779.0596,9842.840400000001
4872,9,3748.47,0.16,41.92,2023,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33736.229999999996,5397.796799999999,28380.353199999994
4873,3,4561.9,0.29,15.68,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13685.699999999999,3968.8529999999996,9732.527
4874,2,13702.4,0.33,55.52,2024,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27404.8,9043.584,18416.736
4876,5,7742.41,0.17,6.6,2024,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38712.05,6581.048500000001,32137.6015
4877,10,22454.98,0.06,15.69,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,224549.8,13472.988,211092.50199999998
4878,4,758.07,0.05,21.74,2023,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3032.28,151.614,2902.406
4879,2,9447.351521955212,0.29,76.05,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18894.703043910424,5479.463882734022,13491.2891611764
4881,2,51076.12,0.2,81.64,2023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102152.24,20430.448000000004,81803.432
4882,2,13694.93,0.37,92.76,2024,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27389.86,10134.2482,17348.371799999997
4884,10,25099.93,0.03,44.59,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,250999.3,7529.978999999999,243513.911
4886,6,218.05,0.21,23.27,2024,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1308.3000000000002,274.74300000000005,1056.8270000000002
4887,1,5349.07,0.226172997290527,6.75,2024,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5349.07,1209.8151946168393,4146.004805383161
4890,2,2599.67,0.26,39.71,2024,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5199.34,1351.8284,3887.2216
4891,8,15197.88,0.39,51.19,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121583.04,47417.3856,74216.8444
4892,5,6827.45,0.05,30.07,2024,3.78987608752966,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34137.25,1706.8625000000002,32460.4575
4893,2,13041.98,0.25,0.05,2023,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26083.96,6520.99,19563.02
4894,1,52304.76,0.12,27.2,2024,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52304.76,6276.5712,46055.3888
4895,5,26762.54,0.4,71.73,2024,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,133812.7,53525.08000000001,80359.34999999999
4896,5,216.09,0.35,60.83,2024,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.45,378.15749999999997,763.1225000000001
4899,8,2169.76,0.38,13.42,2023,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17358.08,6596.0704000000005,10775.429600000001
4900,1,9447.351521955212,0.27,77.58,2023,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9447.351521955212,2550.7849109279073,6974.146611027305
4901,1,14230.18,0.22,40.46,2023,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14230.18,3130.6396,11140.000399999999
4903,1,209.16,0.31,86.09,2024,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.16,64.8396,230.4104
4905,6,9447.351521955212,0.39,5.3,2024,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,56684.10913173127,22106.802561375196,34582.606570356074
4906,10,51373.43,0.28,3.15,2024,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513734.3,143845.60400000002,369891.846
4909,6,3674.82,0.226172997290527,39.35,2023,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22048.920000000002,4986.870323419047,17101.399676580953
4910,1,10225.65,0.22,72.61,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10225.65,2249.643,8048.616999999999
4911,4,2675.73,0.07,85.92,2024,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10702.92,749.2044000000001,10039.6356
4912,6,3291.84,0.32,65.64,2023,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19751.04,6320.3328,13496.3472
4913,1,6366.76,0.38,85.51,2023,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6366.76,2419.3688,4032.9012000000002
4914,9,16736.41,0.14,41.36,2024,3.78987608752966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150627.69,21087.876600000003,129581.1734
4915,1,15879.03,0.22,78.81,2024,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15879.03,3493.3866000000003,12464.4534
4916,10,6873.47,0.02,92.06,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,68734.7,1374.694,67452.06599999999
4918,2,680.93,0.32,84.44,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1361.86,435.79519999999997,1010.5047999999999
4920,4,4194.55,0.226172997290527,82.5,2024,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16778.2,3794.7757831399203,13065.92421686008
4921,1,9447.351521955212,0.13,40.06,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9447.351521955212,1228.1556978541776,8259.255824101034
4923,4,28481.06,0.23,70.4,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,113924.24,26202.575200000003,87792.0648
